1688297210.377497 client started (11719): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1688297210.377547 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:19 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T8103
1688297210.378392 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1688297210.384930 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384936 sending message 112 to peer 0x128048000 (21 bytes)
1688297210.384941 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384947 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384953 sending message 112 to peer 0x128048000 (6 bytes)
1688297210.384959 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384964 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384969 sending message 112 to peer 0x128048000 (24 bytes)
1688297210.384975 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384981 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384987 sending message 112 to peer 0x128048000 (70 bytes)
1688297210.384992 sending message 112 to peer 0x128048000 (69 bytes)
1688297210.384997 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.385002 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.385008 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.385014 sending message 112 to peer 0x128048000 (24 bytes)
1688297210.385020 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.385024 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.385030 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.385034 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.385038 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.385044 sending message 112 to peer 0x128048000 (15 bytes)
1688297210.385050 sending message 112 to peer 0x128048000 (5 bytes)
1688297210.385057 sending message 104 to peer 0x128048000 (0 bytes)
1688297210.385064 sending message 110 to peer 0x128048000 (0 bytes)
1688297210.385070 sending message 107 to peer 0x128048000 (4 bytes)
1688297210.385077 sending message 105 to peer 0x128048000 (20 bytes)
1688297210.385083 sending message 105 to peer 0x128048000 (22 bytes)
1688297210.385089 sending message 105 to peer 0x128048000 (16 bytes)
1688297210.385094 sending message 105 to peer 0x128048000 (15 bytes)
1688297210.385100 sending message 105 to peer 0x128048000 (12 bytes)
1688297210.385105 sending message 105 to peer 0x128048000 (54 bytes)
1688297210.385111 sending message 105 to peer 0x128048000 (341 bytes)
1688297210.385117 sending message 105 to peer 0x128048000 (24 bytes)
1688297210.385123 sending message 105 to peer 0x128048000 (15 bytes)
1688297210.385129 sending message 105 to peer 0x128048000 (66 bytes)
1688297210.385135 sending message 105 to peer 0x128048000 (22 bytes)
1688297210.385141 sending message 105 to peer 0x128048000 (20 bytes)
1688297210.385146 sending message 105 to peer 0x128048000 (26 bytes)
1688297210.385151 sending message 105 to peer 0x128048000 (51 bytes)
1688297210.385157 sending message 105 to peer 0x128048000 (57 bytes)
1688297210.385163 sending message 105 to peer 0x128048000 (9 bytes)
1688297210.385169 sending message 105 to peer 0x128048000 (30 bytes)
1688297210.385175 sending message 105 to peer 0x128048000 (23 bytes)
1688297210.385195 sending message 105 to peer 0x128048000 (14 bytes)
1688297210.385201 sending message 105 to peer 0x128048000 (19 bytes)
1688297210.385205 sending message 105 to peer 0x128048000 (42 bytes)
1688297210.385211 sending message 105 to peer 0x128048000 (39 bytes)
1688297210.385216 sending message 105 to peer 0x128048000 (8 bytes)
1688297210.385221 sending message 105 to peer 0x128048000 (27 bytes)
1688297210.385227 sending message 105 to peer 0x128048000 (18 bytes)
1688297210.385233 sending message 105 to peer 0x128048000 (30 bytes)
1688297210.385239 sending message 105 to peer 0x128048000 (37 bytes)
1688297210.385244 sending message 105 to peer 0x128048000 (34 bytes)
1688297210.385250 sending message 105 to peer 0x128048000 (34 bytes)
1688297210.385256 sending message 105 to peer 0x128048000 (35 bytes)
1688297210.385263 sending message 105 to peer 0x128048000 (22 bytes)
1688297210.385267 sending message 105 to peer 0x128048000 (25 bytes)
1688297210.385273 sending message 106 to peer 0x128048000 (0 bytes)
1688297210.385346 sending message 200 to peer 0x128048000 (4 bytes)
1688297210.385353 client loop enter
1688297210.385377 client_signal: Child exited: 20
1688297210.437080 peer 0x128048000 message 207
1688297210.437091 sending message 208 to peer 0x128048000 (0 bytes)
1688297218.801324 peer 0x128048000 message 203
1688297218.801354 sending message 205 to peer 0x128048000 (0 bytes)
1688297218.801765 peer 0x128048000 message 204
1688297218.801781 client loop exit
